closeDay1,offerPrice,egc,highTech,age,exchange,year,industryFF12,nUnderwriters,sharesOfferedPerc,investmentReceived,amountOnProspectus,commonEquity,sp2weeksBefore,blueSky,managementFee,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,ipoSize,reputationLeadMax,reputationAvg,nPatents
10.75,10,0,0,7,NASDQ,1996,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2,26.66,70982.05,17,0.435,598.46,15000,238000,9.1191824,17.203,60.027,3.186,0.185200256,0.011916526,1,0,0,1,3,62036,17000000,6.001,6.688,0
24.73,16,1,1,15,NYSE,2013,"Healthcare, Medical Equipment, and Drugs",4,10.5,518613.4,160,-1.91,1685.94,10000,1050000,366.718539,469.472,23.76,-38.98,-0.083029446,0.003606179,1,0,0,7,19,518613.4,159999984,0,0,40
22.55,16,1,1,9,NASDQ,2016,"Business Equipment -- Computers, Software, and Electronic Equipment",7,15.71,135999.9,96,-1.434,2181.3,10000,1050000,71.5693784,194.782,160.569,-31.553,-0.161991354,0.000482591,1,0,1,13,5,135989.9,96000000,9.001,4.572,7
56,14,0,1,8,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",17,12.61,46839,54.6,-1.282,1310.52,10000,667400,-61.857324,31.368,21.413,-15.261,-0.48651492,0.056140015,1,0,1,11,15,46839,46718000,9,6.956529412,0
4.75,5,0,1,16,NASDQ,2012,"Business Equipment -- Computers, Software, and Electronic Equipment",1,25.11,70982.05,10,0.681,1432.84,10000,1050000,-40.4276324,13.023,27.528,-0.523,-0.040159717,0,0,0,0,6,11,62036,79925000,3.001,3.001,4
11.03,11,0,0,95,NASDQ,2010,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",4,28.64,20000,58.9,0.131,1069.59,10000,1050000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,1,0,1,5,20000,58928573,7.001,4.75075,0
15.5625,6.5,0,0,46,NASDQ,2007,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",4,46.51,70982.05,14,-0.032,1515.67,75000,1050000,10.6481559,30.447,67.173,-0.906,-0.029756626,0.410450948,0,0,0,6,11,62036,79925000,3.001,2.00075,0
15.95,14,0,0,23,NASDQ,2010,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5,51.95,70982.05,140,0.062,1158.06,15000,1050000,6.4028826,163.453,343.025,-1.23,-0.007525099,0.250836632,0,1,0,3,10,100000,140000000,7.001,5.0008,0
13.48,13.5,0,0,2,NYSE,2007,Finance,9,15.38,715000,175.5,0.758,1392.28,5000,2369250,1210.483525,2103.773,564.109,167.922,0.079819448,0.125911398,0,1,0,2,16,715000,175500000,9.001,3.444888889,0
40.4,30,0,1,28,NYSE,2004,"Healthcare, Medical Equipment, and Drugs",11,27.77,1206952,540,-0.915,1139.81,10000,6480000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,1,1,11,16,1206952,540000000,9.001,6.546272727,40
16.8,16,0,0,3,NYSE,2010,"Healthcare, Medical Equipment, and Drugs",5,33.84,1452319,164.8,0.062,1178.1,10000,1050000,200.238548,249.062,163.511,-6.038,-0.02424296,0.039572476,1,0,0,2,11,12319,164800000,9.001,4.2006,0
47.875,15,0,1,4,NASDQ,2000,"Business Equipment -- Computers, Software, and Electronic Equipment",11,7.88,127585.1,57.9,-0.549,1461.67,5000,617820,209.8679095,284.766,116.891,1.175,0.004126195,0.000786611,1,0,1,20,12,127585.1,44130000,9.001,7.091909091,0
28.875,21,0,0,0,NYSE,1997,Finance,52,86.95,70982.05,388.5,0.062,891.03,2500,4995000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,0,0,6,11,62036,79925000,7.375,6.541365385,0
14.85,15,0,0,36,NASDQ,2002,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",18,31.79,68388.2,90,-1.2,973.52,5000,1178760,-112.09499,97.05,307.213,1.783,0.018371973,0.598835652,0,1,0,8,10,68388.2,90000000,9.001,6.5565,0
8.375,8,0,0,3,NASDQ,1997,Finance,11,25.01,70982.05,16,0.028,798.53,1000,240000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,0,0,6,11,62036,79925000,5.001,5.534545455,0
12.1875,10,0,1,3,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",8,19.89,15078,39,-2.133,1418.78,3000,507000,-10.989777,4.204,2.952,-6.643,-1.580161751,0.072549952,1,0,0,8,12,15078,39000000,8.001,5.828625,0
13,11,0,1,3,NYSE,1997,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",29,54.1,23322,49.5,0.168,865.27,10000,675000,70.8728462,115.86,64.699,0.372,0.003210772,0.16365441,0,1,0,6,7,23322,49500000,8.001,7.022068966,1
35.5,18,0,0,19,NASDQ,1996,Other,2,26.67,70982.05,59.1,0.245,642.49,10000,854131,134.7378654,163.828,117.018,9.817,0.059922602,0.001379496,0,0,0,6,11,62036,79925000,5.75,5.6875,0
8,8,0,0,1,NASDQ,1996,"Healthcare, Medical Equipment, and Drugs",3,62.71,70982.05,33.6,0.727,683,30000,462000,57.9658316,75.575,24.229,0.447,0.005914654,0.043691697,0,0,0,6,11,62036,79925000,8.001,8.542,0
19.5,20,0,0,3,NASDQ,2004,Finance,11,39.79,70982.05,114.6,0.066,1094.83,15000,1604400,191.6410509,1778.985,86.246,13.019,0.007318218,0.039278577,0,1,0,1,16,62036,114600000,5.001,4.455454545,0
11.4,11,0,1,7,NASDQ,2004,"Healthcare, Medical Equipment, and Drugs",4,27.4,73975.2,71.5,0.412,1122.41,10000,1001000,71.397931,80.752,38.403,-14.21,-0.175970874,0.000222905,1,0,1,11,14,73202.2,71500000,8.001,7.751,20
18.375,17,0,0,4,NASDQ,1997,Other,25,17.29,70982.05,68,0.062,869.57,10000,960000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,1,0,6,11,62036,79925000,9.001,7.3802,0
7.25,7,0,0,7,NASDQ,1997,Other,21,55.2,70982.05,28,-0.357,971.68,35000,400000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,1,0,0,1,8,62036,28000000,7,5.774380952,2
16.75,13,0,1,14,NASDQ,1997,"Healthcare, Medical Equipment, and Drugs",24,27.86,13000,35.8,-0.112,916.92,3000,495000,41.965484,64.592,45.89,1.871,0.028966435,0.182963835,1,0,0,2,7,13000,35750000,8,7.299125,0
21.95,18,1,0,10,NYSE,2016,Utilities,6,25.58,173502,117,-1.073,2163.12,10000,1050000,367.505676,536.696,114.1,-20.472,-0.038144499,0.267779152,1,0,1,10,11,156655,117000000,9.001,6.500833333,0
19.9375,16,0,1,7,NASDQ,1998,Telephone and Television Transmission,15,43.55,44015,110.1,0.006,1087.59,10000,1582583,113.2101729,472.261,135.426,-3.931,-0.008323787,0.444864175,0,1,0,1,15,44015,110092736,6.001,7.900666667,0
12.1,12,1,0,8,NASDQ,2018,Other,5,22.14,70982.05,135,0.499,2693.13,10000,1050000,299.4666675,496.31,680.096,50.791,0.102337249,0.126711128,0,0,0,6,11,62036,79925000,7.501,3.9006,0
24.625,24,0,0,3,NYSE,1996,Finance,4,10.5,70982.05,94.4,0.611,687.31,25000,1258666,698.6413284,1135.065,138.156,38.629,0.034032412,0.338121605,0,0,0,6,11,62036,79925000,9,5.87525,0
15.5625,15,0,0,8,NYSE,1998,Finance,28,93.61,70982.05,300,0.062,1064.25,5000,4200000,181.7296005,956.395,46.055,-1.389,-0.001452329,0.795852132,0,0,0,6,11,62036,79925000,5.001,6.137571429,0
25.07,17,0,1,6,NASDQ,2007,"Business Equipment -- Computers, Software, and Electronic Equipment",5,18.76,28800.1,85,-0.917,1510.12,10000,1050000,70.549947,96.205,62.679,-0.174,-0.001808638,0,1,0,1,5,18,28800.1,85000000,9.001,8.201,1
14.75,12,0,1,20,NASDQ,1997,"Business Equipment -- Computers, Software, and Electronic Equipment",24,49.07,4497,43.2,0.414,954.29,15000,612000,10.069824,24.389,42.02,3.315,0.135921932,0.201279265,1,0,1,4,7,4497,43200000,0,5.745291667,3
15,15,0,0,115,NYSE,1997,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",16,31.2,70982.05,98.8,0.243,938.03,3000,1155000,165.8290615,392.295,476.448,13.021,0.033191858,0.366448718,0,1,0,1,14,62036,82500000,9.001,6.9694375,6
29,17,1,1,5,NASDQ,2014,"Healthcare, Medical Equipment, and Drugs",4,52.72,97702.9,127.5,0.92,1940.46,10000,1050000,362.589865,370.753,0,-42.569,-0.114817682,0.070790097,1,0,1,7,13,97702.9,127500000,8.001,5.37575,0
27.25,14,0,1,2,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",21,11.11,74677,56,0.696,1344.15,5000,632000,73.205385,84.77,10.442,-23.57,-0.278046479,0.01276395,1,0,1,13,2,74677,44240000,9.001,6.320142857,0
12,12,0,1,2,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",13,23.15,48485,72,0.03,1299.54,10000,795600,164.8412396,207.826,109.707,-77.401,-0.372431746,0.022032854,0,1,0,2,11,48485,56160000,9.001,6.923615385,0
14.99,15,0,0,36,NASDQ,2013,"Business Equipment -- Computers, Software, and Electronic Equipment",16,20.36,3019984,576.9,0.062,1692.56,5000,5769230,1088.017562,4734.055,3480.117,19.396,0.004097122,0.531162397,0,1,1,1,17,0,576923055,9.001,3.156625,0
15.08,15,0,1,24,NASDQ,2010,"Business Equipment -- Computers, Software, and Electronic Equipment",10,15.5,70982.05,160.9,0.062,1159.46,10000,1050000,857.1840336,1275.726,328.905,32.413,0.025407493,0.227943932,0,1,0,6,11,62036,79925000,9.001,3.1004,1
69,16,0,1,2,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",13,7.03,75404,160,-0.302,1307.26,5000,1826000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,1,0,1,3,50,75404,132800000,9.001,7.702461538,0
18.35,16,1,0,2,NASDQ,2016,Finance,6,31.48,80245,105.6,0.227,2152.43,10000,1050000,210.214225,614.389,141.615,26.167,0.042590281,0.070790097,0,1,0,2,5,80245,105600000,8.001,4.584,0
17.47,15,1,0,10,NASDQ,2017,"Business Equipment -- Computers, Software, and Electronic Equipment",5,19.59,94582,64.1,-4.477,2597.08,10000,1050000,65.8655501,91.779,22.874,-27.019,-0.294391963,0.102234716,1,0,1,11,5,94582,64128000,7.001,1.4002,9
4.85,6,1,1,14,NASDQ,2015,"Healthcare, Medical Equipment, and Drugs",2,25.58,66845,17.1,0.062,2100.4,10000,1050000,7.491156,13.763,3.158,-17.352,-1.260771634,0.114727894,1,0,0,12,12,72845,17100000,3.001,1.5005,5
15.5625,23.5,0,0,8,NASDQ,2006,"Oil, Gas, and Coal Extraction and Products",6,78.06,70982.05,193.2,-0.813,1305.93,10000,1050000,-15.5710212,101.634,73.667,8.209,0.080770215,0.770647618,0,0,0,6,11,62036,79925000,7.001,4.000666667,0
8.875,10,0,1,0,NASDQ,2000,"Business Equipment -- Computers, Software, and Electronic Equipment",18,7.51,139545.2,85,-2.124,1438.1,20000,1190000,-8.9510995,153.031,90.161,-236.038,-1.54241951,0.033823212,1,0,0,9,14,139545.2,85000000,8.001,6.334277778,0
20.44,20,1,1,25,NYSE,2013,"Business Equipment -- Computers, Software, and Electronic Equipment",10,31.94,70982.05,505.3,0.062,1569.19,10000,5557894,111.3305206,919.353,357.24,-24.621,-0.02678079,0.800432478,0,1,0,1,13,62036,505263180,9.001,4.2005,0
14.08,12,1,1,9,NASDQ,2015,"Business Equipment -- Computers, Software, and Electronic Equipment",4,22.92,52000,74.4,-3.25,2108.86,10000,1050000,72.6975366,90.481,74.977,-15.668,-0.173163427,0.000342613,1,0,0,4,9,52000,74400000,9.001,5.75075,10
20,16,0,0,3,NASDQ,1996,Other,3,40.26,70982.05,62.4,0.109,643.38,10000,858000,103.9803385,143.355,53.484,9.974,0.069575529,0.146489484,0,1,0,1,9,62036,62400000,8.001,6.209,0
40.25,24,0,1,2,NASDQ,1999,Telephone and Television Transmission,12,34.98,226845,357.3,-0.336,1336.12,10000,4845000,308.0658371,479.16,21.14,-183.698,-0.383375073,0.182986894,1,0,1,14,11,226845,342000000,9,8.365333333,0
15,15,0,0,13,NYSE,1999,Finance,12,30,70982.05,60,0.141,1225.19,10000,920000,78.8379,265.856,98.461,10.728,0.040352672,0.584350175,0,0,0,6,11,62036,79925000,7.001,6.598,0
74.9375,19,0,1,3,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",13,10.45,58381,76,0.843,1347.66,15000,1080000,-30.8233458,40.621,26.254,-12.543,-0.308781172,0.089362645,1,0,1,15,7,58381,76000000,9.001,7.404538462,0
92.75,24,0,1,9,NASDQ,2000,"Business Equipment -- Computers, Software, and Electronic Equipment",15,10.14,70982.05,92.4,0.883,1346.09,3000,1309000,87.5460618,119.839,56.608,-67.901,-0.566601857,0.002937274,1,0,1,25,8,72542.2,92400000,8.001,7.200933333,0
14,12,0,1,18,NYSE,2001,Other,27,18.09,459760,156,0.062,1293.17,5000,2210000,505.7280198,1477.218,777.351,-8.232,-0.005572637,0.210141631,0,1,1,1,18,459760,156000000,9.001,5.963888889,0
12,9,0,1,4,NASDQ,1997,Telephone and Television Transmission,2,24.73,9500,36,0.062,844.08,10000,520000,44.013291,113.553,376.198,5.568,0.049034372,0.128574322,1,0,0,3,11,9500,36000000,8,8.4375,0
8.0625,6,0,1,9,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",14,17.83,63594.9,36,-5.836,1388.12,5000,480000,28.4266248,32.31,2.656,-24.506,-0.758464872,0,1,0,1,14,11,63594.9,36000000,7.001,6.822142857,0
19.17,15,0,1,8,NASDQ,2010,"Business Equipment -- Computers, Software, and Electronic Equipment",5,29.45,171126.8,65.8,-4.048,1159.46,10000,921224,49.9174914,84.368,85.004,-36.606,-0.433884885,0.033282761,1,0,0,13,18,171126.8,65801760,9.001,5.6008,1
8.51,9,1,0,17,NASDQ,2014,Other,5,71.52,70982.05,90,-0.053,2031.21,10000,1050000,3.4878338,207.291,105.205,-1.501,-0.007241028,0.848575191,0,0,0,6,11,62036,79925000,7.001,5.2008,0
21.3,16,1,1,13,NYSE,2012,"Business Equipment -- Computers, Software, and Electronic Equipment",6,17.05,76334.9,120,-1.232,1398.08,10000,1680000,142.0759494,242.983,169.246,-8.21,-0.033788372,0,1,0,1,13,14,76334.9,120000000,9.001,5.584,12
12.06,12,0,0,8,NASDQ,2004,Finance,11,99.6,70982.05,171.4,0.062,1113.56,10000,2428571,105.9328804,491.602,57.835,-5.587,-0.011364885,0.601889333,0,0,0,6,11,62036,79925000,8.001,5.273636364,0
26,26,0,0,12,NASDQ,2005,Finance,4,15.94,18654,49.6,0.057,1227.73,10000,694399,212.2566039,1662.877,97.476,16.682,0.010032011,0.048974157,0,1,0,2,16,18654,49599992,7.001,4.25075,0
18.625,16,0,0,3,NASDQ,1996,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",5,25.72,41143,157.5,0.062,727.65,22500,1417500,264.5657035,522.291,252.617,-9.83,-0.018820925,0.396987503,1,0,1,2,15,41143,126000000,8.875,8.1504,0
9.4,7.5,0,1,8,NASDQ,2004,"Healthcare, Medical Equipment, and Drugs",3,24.42,161948.9,45,0.783,1128.59,15000,630000,59.8756251,73.646,14.812,-15.971,-0.216861744,0,1,0,0,21,19,161948.9,45000000,9.001,8.001,2
14.1,15,0,0,40,NYSE,2007,"Oil, Gas, and Coal Extraction and Products",6,17.56,70982.05,442.5,0.507,1482.37,10000,5310000,623.1250464,1365.173,582.215,28.58,0.020935076,0.120863803,0,0,0,6,11,62036,79925000,9.001,7.000833333,0
20.25,15,0,0,15,NASDQ,2000,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",3,29.63,23000,79.5,-0.099,1481.96,5000,1113000,92.3179734,116.977,210.804,8.365,0.071509784,0.000401788,0,1,0,3,8,23000,79500000,9.001,8.001,0
14.15,14,0,0,102,NASDQ,2005,Finance,4,42.79,127000,84,0.064,1235.2,10000,1050000,164.4556248,851.709,255.841,22.667,0.02661355,0.091822442,0,1,0,6,9,127000,84000000,8.001,3.7505,0
15.5625,8.5,0,0,19,NASDQ,2004,Finance,8,66,70982.05,110.5,0.062,1142.05,20000,1560000,5.6281,6.575,0.93,-3.912,-0.594980989,0.005779468,0,0,0,6,11,62036,79925000,5.001,4.50075,0
16.15,16,0,0,48,NYSE,2014,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",7,27.49,70982.05,232,0.062,1964.68,10000,1050000,-419.9119452,937.595,1069.009,11.124,0.011864398,0.484268794,0,1,0,6,11,62036,79925000,9.001,3.643285714,40
14.55,14,0,1,6,NASDQ,2003,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2,25.87,109560.2,30.8,0.774,1010.92,10000,374000,-72.4040119,22.126,70.059,-7.711,-0.348504022,0.130977131,1,0,1,12,8,109560.2,30800000,7.001,4.001,0
8,8,0,1,9,NASDQ,2007,"Business Equipment -- Computers, Software, and Electronic Equipment",2,15.49,407748.6,48,-1.862,1509.65,10000,1050000,340.5433272,363.428,89.889,0.311,0.00085574,0,1,0,1,23,5,387748.6,48000000,8.001,6.501,0
20.47,19,0,0,55,NASDQ,2001,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",4,39.87,141716,123.5,0.277,1255.85,5000,1755000,69.0392912,201.089,421.662,0.363,0.001805171,0.378593558,0,1,1,2,18,141716,123500000,9.001,6.50075,0
14.375,12,0,0,3,NASDQ,1999,Finance,17,12.72,70982.05,60,0.513,1343.98,10000,850000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,0,0,6,11,62036,79925000,8.001,6.098705882,0
12.03,12,1,0,8,NASDQ,2018,Other,3,16.26,70982.05,48,0.612,2737.76,10000,1050000,189.2808,235.038,161.877,21.513,0.09152988,0.075068712,0,0,0,6,11,62036,79925000,0,0,0
8.875,9,0,0,10,NASDQ,1999,Telephone and Television Transmission,20,33.36,30000,79.4,-0.186,1294.81,10000,887105,48.5825813,429.823,86.993,-34.592,-0.080479639,0.740460608,1,0,0,3,26,30000,61415001,9.001,7.9132,0
20.09,15,1,1,7,NYSE,2014,"Business Equipment -- Computers, Software, and Electronic Equipment",6,18.95,51999.1,101.6,-0.42,1872.25,10000,1050000,128.7512656,296.481,125.295,-18.673,-0.062982114,0.000354154,1,0,0,9,7,51999.1,101564925,9.001,6.334166667,2
11,11,0,0,27,NASDQ,2000,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",13,30.12,2585,32.5,0.223,1501.34,10000,413000,46.3316142,66.918,144.64,8.01,0.119698736,0.020457874,1,0,0,4,9,2585,32450000,7.001,6.231769231,6
7.0625,6.5,0,1,15,NASDQ,1997,"Business Equipment -- Computers, Software, and Electronic Equipment",19,2.21,70982.05,9.8,0.185,883.48,25000,150000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,0,0,6,11,62036,79925000,2.001,4.250684211,0
4.85,5.5,1,0,8,NASDQ,2017,Other,5,45.04,70982.05,40.2,0.062,2475.42,10000,1050000,54.5342537,71.006,54.514,-23.436,-0.330056615,0,0,1,0,1,9,62036,40150000,7.001,5.2008,0
5.53125,7,0,0,6,NASDQ,2000,Other,18,8.53,70982.05,23.1,0.062,1432.63,7500,330000,9.7419756,29.15,39.866,-39.24,-1.346140652,0.196363636,0,0,0,6,11,62036,79925000,8.001,6.223111111,0
21.75,21.5,0,0,8,NYSE,2012,Finance,10,25.64,70982.05,172,0.948,1362.21,10000,2150000,900.1817299,1430.652,123.059,65.875,0.046045439,0.330463313,0,0,0,6,11,62036,79925000,9.001,3.2504,0
10.3125,13,0,1,5,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",25,27.2,61228.1,53.3,-1.222,1416.62,10000,738000,65.695269,71.374,5.769,-54.169,-0.758945835,0.004357329,1,0,1,13,19,61228.1,53300000,8.75,6.45056,0
10.125,10,0,0,13,NASDQ,1996,Other,2,25.72,70982.05,33,0.062,683.98,15000,462000,23.78675,42.817,49.698,-4.633,-0.108204685,0,0,0,0,6,11,62036,79925000,8.75,8.75,0
11.38,12,1,1,8,NASDQ,2018,"Healthcare, Medical Equipment, and Drugs",3,29.05,70982.05,40,-31.386,2837.44,10000,1050000,-8.6207712,22.028,0.724,-29.518,-1.34002179,0,0,0,0,6,11,62036,79925000,7.001,4.334,24
27.25,23,0,1,7,NYSE,2010,Other,7,16.1,240999.9,291.5,0.062,1180.55,10000,3644062,625.944921,1484.118,433.841,107.896,0.072700419,0.316290888,1,0,1,11,17,240999.9,291525000,9.001,3.571857143,0
18.86,17,1,0,4,NYSE,2015,Other,6,16.73,101278.9,195.5,-1.254,2130.82,10000,2737000,649.3412448,1015.514,96.878,332.494,0.327414492,0,1,0,1,2,5,101278.9,195500000,9.001,3.7505,0
